application_number,filing_date,application_invention_type,examiner_full_name,examiner_art_unit,uspc_class,uspc_subclass,confirm_number,atty_docket_number,appl_status_desc,appl_status_date,file_location,file_location_date,earliest_pgpub_number,earliest_pgpub_date,wipo_pub_number,wipo_pub_date,patent_number,patent_issue_date,invention_title,small_entity_indicator,aia_first_to_file
PCT/IL01/01150,,PCT,"LIN, KUANG Y",1725,164,495000,8487,P-3336-PC,PCT - International Search Report Mailed to IB,2002-05-09,,,,,2002047850,2002-06-20,,,TREATING MOLTEN METALS BY MOVING ELECTRIC ARC DURING SOLIDIFICATION,UNDISCOUNTED,
PCT/IL01/01166,,PCT,"HOM, SHICK C",2471,370,352000,4629,2430/5,RO PROCESSING COMPLETED-PLACED IN STORAGE,2018-11-09,,,,,2002049319,2002-06-20,,,A METHOD AND SYSTEM FOR HANDLING MULTI-PART MESSAGES BY USERS OF CELLULAR PHONES,UNDISCOUNTED,
PCT/IL01/01165,,PCT,"LIN, KENNY S",2416,709,224000,8515,2196/16,RO PROCESSING COMPLETED-PLACED IN STORAGE,2018-11-09,,,,,2002049254,2002-06-20,,,A SYSTEM AND METHOD FOR DATA TRANSFER ACCELERATION IN A TCP NETWORK ENVIRONMENT,UNDISCOUNTED,
PCT/IL01/01160,,PCT,"SANTIAGO, MARICELI",2879,313,010000,4639,01/23065,PCT - International Search Report Mailed to IB,2002-08-20,,,,,2002048605,2002-06-20,,,ELECTROLUMINESCENT CABLE AND MOUNTING SYSTEM THEREFOR,UNDISCOUNTED,
PCT/IL01/01173,,PCT,"DIETERLE, JENNIFER M",3774,601,004000,4642,100/1,RO PROCESSING COMPLETED-PLACED IN STORAGE,2018-11-09,,,,,2002053060,2002-07-11,,,AN APPARATUS FOR VETRINARY TREATMENT,UNDISCOUNTED,
PCT/IL01/01170,,PCT,"LAMARRE, GUY J",2112,714,755000,4662,01/23075,RO PROCESSING COMPLETED-PLACED IN STORAGE,2018-11-09,,,,,2002052729,2002-07-04,,,"DECODER, SYSTEM AND METHOD FOR DECODING TURBO BLOCK CODES",UNDISCOUNTED,
PCT/IL01/01164,,PCT,"LERNER, MARTIN",2657,704,270000,8516,12255/WO/00,PCT - International Search Report Mailed to IB,2002-07-08,,,,,2002049253,2002-06-20,,,METHOD AND INTERFACE FOR INTELLIGENT USER-MACHINE INTERACTION,UNDISCOUNTED,
PCT/IL01/00897,,PCT,"STIGELL, THEODORE J",3783,604,140000,4695,CYC395-1.2,PCT - International Search Report Mailed to IB,2003-09-12,,,,,2002026102,2002-04-04,,,CONSTANT PRESSURE APPARATUS FOR THE ADMINISTRATION OF FLUIDS INTRAVENOUSLY,UNDISCOUNTED,
PCT/IL01/01175,,PCT,"NOLAN, DANIEL A",2655,704,001000,4664,43484,PCT - International Search Report Mailed to IB,2002-07-18,,,,,2002050813,2002-06-27,,,APPARATUS AND METHODS FOR GENERATING VISUAL REPRESENTATIONS OF SPEECH VERBALIZED BY ANY OF A POPULATION OF PERSONAS,UNDISCOUNTED,
PCT/IL01/01174,,PCT,"MACK, RICKY LEVERN",2872,359,618000,8370,11493/WO/00,RO PROCESSING COMPLETED-PLACED IN STORAGE,2018-11-09,,,,,2002050599,2002-06-27,,,OPTICAL DEVICE FOR UNIFYING LIGHT BEAMS EMITTED BY SEVERAL LIGHT SOURCES,UNDISCOUNTED,
PCT/IL01/01180,,PCT,"HUSON, GREGORY L",OEEOD,400,449000,4630,142,RO PROCESSING COMPLETED-PLACED IN STORAGE,2018-11-09,,,,,2002049489,2002-06-27,,,POTTY KIT,UNDISCOUNTED,
PCT/IL01/01182,,PCT,"MOORE, JAMES K",2686,455,572000,6560,NIRAGONGO02,PCT - Docketed Chapter 1 Case,2004-03-31,,,,,2002050625,2002-06-27,,,METHOD OF CONNECTING NETWORK URL ADDRESSES THROUGH CELLULAR NETWORK,UNDISCOUNTED,
PCT/IL01/01178,,PCT,"FAN, CHIEH M",2632,375,211000,4661,P-3373-PC,PCT - International Search Report Mailed to IB,2002-06-26,,,,,2002051016,2002-06-27,,,BIDIRECTIONAL SIGNAL REPEATER,UNDISCOUNTED,
PCT/IL01/01189,,PCT,"RAYYAN, SUSAN F",2177,707,001000,6554,LMK01,PCT - International Search Report Mailed to IB,2002-05-31,,,,,2002056200,2002-07-18,,,SYSTEM AND METHOD FOR FILTERING DATA EVENTS,UNDISCOUNTED,
PCT/IL01/01177,,PCT,"SULLIVAN, DANIEL M",1600,424,499000,8481,P-3706-PC,RO PROCESSING COMPLETED-PLACED IN STORAGE,2018-11-09,,,,,2002049608,2002-06-27,,,CABERGOLINE PHARMACEUTICAL COMPOSITIONS AND METHODS OF USE THEREOF,UNDISCOUNTED,
PCT/IL01/01176,,PCT,"MCDERMOTT, CORRINE MARIE",3700,606,144000,4667,P-4741-PC,RO PROCESSING COMPLETED-PLACED IN STORAGE,2018-11-09,,,,,2002053011,2002-07-11,,,SUTURING SYSTEM,UNDISCOUNTED,
PCT/IL01/01192,,PCT,"BAUM, STUART F",1663,800,290000,4494,01/22465,PCT - International Search Report Mailed to IB,2002-09-04,,,,,2002052923,2002-07-11,,,LONG DAY PLANTS CHARACTERIZED BY ALTERED FLOWERING RESPONSE TO DAY LENGTH UNDER COMMERCIAL AND GARDEN CONDITION AND METHOD OF GENERATING THE SAME,UNDISCOUNTED,
PCT/IL01/01171,,PCT,"BUI, VY Q",3771,623,001230,8372,01/22087,PCT - International Search Report Mailed to IB,2002-08-05,,,,,2002049535,2002-06-27,,,MEDICATED POLYMER-COATED STENT ASSEMBLY,UNDISCOUNTED,
PCT/IL01/01169,,PCT,"NGUYEN, QUANG",1633,424,093210,8512,01/22967,PCT - International Search Report Mailed to IB,2003-11-19,,,,,2002050243,2002-06-27,,,THE USE OF ECM DEGRADING ENZYMES FOR THE IMPROVEMENT OF CELL TRANSPLANTATION,UNDISCOUNTED,
PCT/IL01/01168,,PCT,"DEL SOLE, JOSEPH S",1722,428,343000,8513,01/22800,PCT - ISA Form Mailed,2002-09-06,,,,,2002049678,2002-06-27,,,METHOD AND APPARATUS FOR MANUFACTURING POLYMER FIBER SHELLS VA ELECTROSPINNING,UNDISCOUNTED,
PCT/IL01/01188,,PCT,"PRETLOW, DEMETRIUS R",2863,188,057000,6557,1161/5,PCT - International Search Report Mailed to IB,2002-06-05,,,,,2002053407,2002-07-11,,,ELECTRICALLY-COMMANDED DEVICE FOR PREVENTION OF MECHANICAL MOVEMENT,UNDISCOUNTED,
PCT/IL01/01172,,PCT,"GHERBI, SUZETTE JAIME J",3774,623,001420,8371,01/22088,PCT - International Search Report Mailed to IB,2002-07-16,,,,,2002049536,2002-06-27,,,IMPROVED VASCULAR PROSTHESIS AND METHOD FOR PRODUCTION THEREOF,UNDISCOUNTED,
PCT/IL01/01153,,PCT,"TRAN, TUAN A",2648,455,066000,8569,44417,PCT - International Search Report Mailed to IB,2002-05-29,,,,,2002049235,2002-06-20,,,"METHOD AND APPARATUS FOR SECURE ACCESS TO HOMES, OFFICES, PROFESSIONAL BUILDINGS AND/ OR REMOVE MACHINERY AND EQUIPMENT",UNDISCOUNTED,
PCT/IL01/01152,,PCT,"DINH, TRINH VO",2845,343,708000,4634,43603,PCT - International Search Report Mailed to IB,2002-06-25,,,,,2002049147,2002-06-20,,,CAVITY ANTENNA WITH REACTIVE SURFACE LOADING,UNDISCOUNTED,
PCT/IL01/01190,,PCT,"HARTMAN JR, RONALD D",2119,700,090000,6553,01/22439,PCT - International Search Report Mailed to IB,2002-06-10,,,,,2002052361,2002-07-04,,,A METHOD FOR GLOBAL AUTOMATED PROCESS CONTROL,UNDISCOUNTED,
PCT/IL01/01141,,PCT,"TWEEL JR, JOHN ALEXANDER",2687,340,870110,8492,23/1,RO PROCESSING COMPLETED-PLACED IN STORAGE,2018-11-09,,,,,2002048985,2002-06-20,,,ON-BOARD VEHICLE SAFETY SYSTEM,UNDISCOUNTED,
PCT/IL01/01194,,PCT,"SHAH, KAMINI S",2127,703,002000,4462,01/22991,RO PROCESSING COMPLETED-PLACED IN STORAGE,2018-11-09,,,,,2002052365,2002-07-04,,,MODEL PREDICTIVE CONTROL (MPC) SYSTEM USING DOE BASED MODEL,UNDISCOUNTED,
PCT/IL01/01201,,PCT,"FUREMAN, JARED",2876,235,452000,4637,2365/6,PCT - International Search Report Mailed to IB,2002-06-27,,,,,2002052366,2002-07-04,,,OPTICAL COMMUNICATION DISC WITH BUILT-IN COMPUTING UNIT AND METHODS OF PROCESSING INFORMATION THEREWITH,UNDISCOUNTED,
PCT/IL01/01193,,PCT,"CLOW, LORI A",1631,702,019000,6551,01/22660,PCT - International Search Report Mailed to IB,2002-05-23,,,,,2002054063,2002-07-11,,,DATABASE SYSTEM AND METHOD USEFUL FOR PREDICTING THE EFFECT OF AMINO ACID SUBSTITUTION ON PROTEIN STRUCTURE AND STABILITY,UNDISCOUNTED,
PCT/IL01/01128,,PCT,"DAVIS, GEORGE B",2121,706,012000,8571,01/22605,PCT - International Search Report Mailed to IB,2002-07-10,,,,,2002047308,2002-06-13,,,A METHOD AND TOOL FOR DATA MINING IN AUTOMATIC DECISION MAKING SYSTEMS,UNDISCOUNTED,
PCT/IL01/01198,,PCT,"PADMANABHAN, MANO",2671,345,423000,6549,44557,PCT - International Search Report Mailed to IB,2002-05-23,,,,,2002095687,2002-11-28,,,EFFICIENT IMAGE PARCEL TEXTURE RENDERING WITH T-JUNCTION CRACK ELIMINATION,UNDISCOUNTED,
PCT/IL01/01126,,PCT,"DINH, TRINH VO",2845,343,706000,4626,43395,PCT - International Search Report Mailed to IB,2002-08-19,,,,,2002049146,2002-06-20,,,ANTENNA WITH VIRTUAL MAGNETIC WALL,UNDISCOUNTED,
PCT/IL01/01130,,PCT,"ANGEBRANNDT, MARTIN J",1756,430,270110,6473,171PCT,RO PROCESSING COMPLETED-PLACED IN STORAGE,2018-11-09,,,,,2002047012,2002-06-13,,,METHOD FOR POLARIZATION DATA RECORDING/RETRIEVAL ON LUMINESCENT OPTICAL DATA CARRIERS,UNDISCOUNTED,
PCT/IL01/01216,,PCT,"BUMGARNER, MELBA N",3711,463,017000,6543,MARCEL-01,RO PROCESSING COMPLETED-PLACED IN STORAGE,2018-11-09,,,,,2002055165,2002-07-18,,,WORLD WIDE LOTTO GAME METHOD AND SYSTEM,UNDISCOUNTED,
PCT/IL01/01217,,PCT,"BUSHEY, CHARLES S",1724,261,112100,6049,003/01PCT,PCT - International Search Report Mailed to IB,2002-07-18,,,,,2002056988,2002-07-25,,,METHOD AND APPARATUS FOR PRODUCING OF DROPLETS,UNDISCOUNTED,
PCT/IL01/01211,,PCT,"LEE, JINHEE J",2841,361,792000,6475,001YB,PCT - International Search Report Mailed to IB,2002-09-12,,,,,2002054414,2002-07-11,,,FAT CONDUCTOR,UNDISCOUNTED,
PCT/IL02/00006,,PCT,"BERMAN, JACK I",2881,250,251000,6547,44134,PCT - International Search Report Mailed to IB,2002-05-07,,,,,2002054042,2002-07-11,,,IMPROVED METHOD FOR PREPARING SEMICONDUCTOR WAFER FOR DEFECT ANALYSIS,UNDISCOUNTED,
PCT/IL01/01118,,PCT,"CHAWAN, VIJAY B",2658,704,258000,8475,P-3591-PC,PCT - International Search Report Mailed to IB,2002-06-21,,,,,2002047067,2002-06-13,,,IMPROVED SPEECH TRANSFORMATION SYSTEM AND APPARATUS,UNDISCOUNTED,
PCT/IL01/01220,,PCT,"VAN, QUANG T",3761,601,002000,6539,44382,PCT - International Search Report Mailed to IB,2003-05-22,,,,,2002054018,2002-07-11,,,NON-INVASIVE ULTRASONIC BODY CONTOURING,UNDISCOUNTED,
PCT/IL02/00005,,PCT,"SCHWADRON, RONALD B",1644,424,184100,6472,01/23033,PCT - International Search Report Mailed to IB,2002-07-03,,,,,2002053092,2002-07-11,,,METHODS EMPLOYING AND COMPOSITIONS CONTAINING PLAQUE ASSOCIATED MOLECULES FOR PREVENTION AND TREATMENT OF ATHEROSCLEROSIS,UNDISCOUNTED,
PCT/IL01/01221,,PCT,"CHAWAN, VIJAY B",2658,704,234000,4660,12515/WO/00,PCT - International Search Report Mailed to IB,2002-07-02,,,,,2002054333,2002-07-11,,,A METHOD AND SYSTEM FOR IMPROVED SPEECH RECOGNITION,UNDISCOUNTED,
PCT/IL02/00007,,PCT,"BOCKELMAN, MARK",3792,601,040000,6674,44296,PCT - International Search Report Mailed to IB,2002-07-16,,,,,2002053093,2002-07-11,,,REGULATION OF EATING HABITS,UNDISCOUNTED,
PCT/IL01/01117,,PCT,"RODRIGUEZ, PAUL L",2123,174,250000,8476,P-3777-PC,RO PROCESSING COMPLETED-PLACED IN STORAGE,2018-11-09,,,,,2002045474,2002-06-13,,,BOARD INTEGRATED RESILIENT CONTACT ELEMENTS ARRAY AND METHOD OF FABRICATION,UNDISCOUNTED,
PCT/IL02/00003,,PCT,"ANDERSON, BRUCE C",2881,250,250000,6351,140/02557,PCT - International Search Report Mailed to IB,2002-07-15,,,,,2002054837,2002-07-11,,,DIRECT PATTERN WRITER,UNDISCOUNTED,
PCT/IL02/00010,,PCT,"CHENG, JOE H",3713,434,323000,6673,PREP4-01,PCT - International Search Report Mailed to IB,2002-05-31,,,,,2002056279,2002-07-18,,,WEB-BASED TAILOR MADE LEARNING SYSTEM AND METHOD,UNDISCOUNTED,
PCT/IL02/00015,,PCT,"SONG, HOON K",2884,037,312000,4491,2161/7,RO PROCESSING COMPLETED-PLACED IN STORAGE,2018-11-09,,,,,2002056094,2002-07-18,,,METHOD AND DEVICE FOR AUTOMATICALLY CONTROLLING A POLARIZED FILTER,UNDISCOUNTED,
PCT/IL02/00014,,PCT,"CHAMBERS, A MICHAEL",3753,137,014000,4456,P-.556-PC,PCT - International Search Report Mailed to IB,2002-07-12,,,,,2002053921,2002-07-11,,,APPARATUS AND METHOD FOR PROFELLING FLUIDS,UNDISCOUNTED,
PCT/IL02/00022,,PCT,"BUI, VY Q",3771,623,001150,6077,01/22936,PCT - International Search Report Mailed to IB,2003-04-07,,,,,2002055123,2002-07-18,,,IMPLANTABLE INTEGRAL DEVICE AND CORRESPONDING METHOD FOR DEFLECTING EMBOLIC MATERIAL IN BLOOD FLOWING AT AN ARTERIAL BIFURCATION,UNDISCOUNTED,
PCT/IL01/01105,,PCT,"KIM, VICKIE Y",1614,514,216000,8368,135486.9 MG,PCT - International Search Report Mailed to IB,2002-06-07,,,,,2002043652,2002-06-06,,,ANTI-PROLIFERATIVE DRUGS,UNDISCOUNTED,
PCT/IL01/01106,,PCT,"GITOMER, RALPH J",1651,435,004000,8366,P-3713-PC,PCT - International Search Report Mailed to IB,2002-06-11,,,,,2002043559,2002-06-06,,,METHODS AND KITS FOR DIAGNOSIS OF SCHIZOPHRENIA,UNDISCOUNTED,
PCT/IL01/01101,,PCT,"BELYAVSKYI, MICHAIL A",1644,424,093700,8323,01/22792,PCT - International Search Report Mailed to IB,2002-05-30,,,,,2002043651,2002-06-06,,,METHODS OF UTILIZING CULTURED NON-GVHD INDUCING TLYMPHOYTES TO TREAT DISEASES,UNDISCOUNTED,
PCT/IL02/00023,,PCT,"THALER, MICHAEL H",3731,623,001110,4644,01/22937,PCT - International Search Report Mailed to IB,2002-09-24,,,,,2002055124,2002-07-18,,,SYSTEM AND CORRESPONDING METHOD FOR DEPLOYING AN IMPLANTABLE INTRALUMINAL DEVICE,UNDISCOUNTED,
PCT/IL02/00027,,PCT,"LE, AMANDA T",2634,375,360000,4490,P-3427-PC,PCT - International Search Report Mailed to IB,2002-08-02,,,,,2002060072,2002-08-01,,,RADIO FREQUENCY TRANSMITTER AND METHODS THEREOF,UNDISCOUNTED,
PCT/IL02/00030,,PCT,"MANAHAN, TODD E",3731,128,204230,6047,AUT374-1.2,RO PROCESSING COMPLETED-PLACED IN STORAGE,2018-11-09,,,,,2002056931,2002-07-25,,,AUTOMTICALLY REGULATING OXYGEN FLOW TO A PATIENT,UNDISCOUNTED,
PCT/IL02/00026,,PCT,"LEUBECKER, JOHN P",3739,600,160000,3304,P-4438-PC,RO PROCESSING COMPLETED-PLACED IN STORAGE,2018-11-09,,,,,2002055126,2002-07-18,,,DEVICE AND SYSTEM FOR IN-VIVO PROCEDURES,UNDISCOUNTED,
PCT/IL01/01097,,PCT,"WILLIAMS, JOSEPH L",2879,313,504000,8463,1251/34,RO PROCESSING COMPLETED-PLACED IN STORAGE,2018-11-09,,,,,2002045464,2002-06-06,,,ELECTROLUMINESCENT DISPLAY DEVICE,UNDISCOUNTED,
PCT/IL02/00035,,PCT,"GETZOW, SCOTT M",3792,607,002000,4527,2458/3,PCT - International Search Report Mailed to IB,2002-08-21,,,,,2002056960,2002-07-25,,,METHOD AND DEVICE FOR IMPROVING BLOOD FLOW BY A SERIES OF ELECTRICALLY - INDUCED MUSCULAR CONTRACTIONS,UNDISCOUNTED,
PCT/IL01/01100,,PCT,"CHOI, GENE",3699,705,010000,8326,RANSYS,RO PROCESSING COMPLETED-PLACED IN STORAGE,2018-11-09,,,,,2002044829,2002-06-06,,,METHOD AND SYSTEM FOR CONDUCTING FULLY AUTOMATED SURVEY RESEARCH,UNDISCOUNTED,
PCT/IL02/00034,,PCT,"YU, JUSTINE ROMANG",3785,601,155000,6017,001FBR,RO PROCESSING COMPLETED-PLACED IN STORAGE,2018-11-09,,,,,2002055784,2002-07-18,,,"INDIVIDUALLY ADJUSTABLE, AUTOMATED, WHOLE-BODY WASHING APPARATUS",UNDISCOUNTED,
PCT/IL01/01096,,PCT,"VU, THONG H",2159,709,246000,8354,P-3358-PC,RO PROCESSING COMPLETED-PLACED IN STORAGE,2018-11-09,,,,,2002044828,2002-06-06,,,SYSTEM AND METHOD FOR MEDIA STREAM ADAPTATION,UNDISCOUNTED,
PCT/IL02/00041,,PCT,"BUGG, GEORGE A",2911,348,077000,3306,P-2752-PC,PCT - International Search Report Mailed to IB,2002-07-30,,,,,2002055984,2002-07-18,,,A SYSTEM AND METHOD FOR DETERMINING IN VIVO BODY LUMEN CONDITIONS,UNDISCOUNTED,
PCT/IL02/00037,,PCT,"MAUNG, ZARNI",2154,709,224000,4613,01-23038,PCT - International Search Report Mailed to IB,2002-06-05,,,,,2002077847,2002-10-03,,,A SYSTEM AND METHOD FOR MONITORING UNAUTHORIZED TRANSPORT OF DIGITAL CONTENT,UNDISCOUNTED,
PCT/IL02/00040,,PCT,"SHOSHO, CALLIE E",1787,523,160000,6359,P-3618-PC,RO PROCESSING COMPLETED-PLACED IN STORAGE,2018-11-09,,,,,2002059222,2002-08-01,,,AN INKJET RECORDING FLUID CONTAINING RESIN-IN-AQUEOUS-EMULSION,UNDISCOUNTED,
PCT/IL02/00043,,PCT,"REYES, HECTOR M",1625,560,100000,4498,BGU-001 PCT,PCT - International Search Report Mailed to IB,2002-12-11,,,,,2002055011,2002-07-18,,,"AMPHIPHILIC DERIVATIVES FOR THE PRODUCTION OF VESICLES, MICELLES AND COMPLEXANTS, AND PRECURSORS THEREOF",UNDISCOUNTED,
PCT/IL02/00045,,PCT,"NOGUEROLA, ALEXANDER STEPHAN",1753,204,403030,6358,AMOS-003 PCT,PCT - International Search Report Mailed to IB,2002-08-22,,,,,2002057738,2002-07-25,,,NITRIC OXIDE (NO) DETECTOR,UNDISCOUNTED,
PCT/IL02/00052,,PCT,"SHIN, CHRISTOPHER B",2181,710,001000,6085,FN-07-PCT,PCT - International Search Report Mailed to IB,2002-09-23,,,,,2002060106,2002-08-01,,,SYSTEM AND METHOD FOR DATA RE-COMPRESSION FOR COMMUNICATION OVER IP,UNDISCOUNTED,
PCT/IL02/00044,,PCT,"STEADMAN, DAVID J",1656,514,002000,6476,01/23118,PCT - International Search Report Mailed to IB,2004-07-07,,,,,2002057408,2002-07-25,,,"CHITINASES, DERIVED FROM CARNIVOROUS PLANTS POLYNUCLEOTIDE SEQUENCES ENCODING THEREOF, AND METHODS OF ISOLATING AND USING SAME",UNDISCOUNTED,
PCT/IL02/00049,,PCT,"ESTREMSKY, GARY WAYNE",3673,292,341160,6087,2458/2,RO PROCESSING COMPLETED-PLACED IN STORAGE,2018-11-09,,,,,2002055382,2002-07-18,,,LOCK SYSTEM FOR AIRCRAFT COCKPIT DOOR,UNDISCOUNTED,
PCT/IL01/01094,,PCT,"SMITH, JAMES G",3765,606,145000,8360,01/22807,PCT - International Search Report Mailed to IB,2002-07-16,,,,,2002043558,2002-06-06,,,SUTURING INSTRUMENT AND METHOD,UNDISCOUNTED,
PCT/IL02/00050,,PCT,"KOPEC, MARK T",1751,252,505000,6356,12216/WO/00,PCT - International Search Report Mailed to IB,2002-07-17,,,,,2002058078,2002-07-25,,,THICK FILM COMPOSITONS CONTAINING PYROCHLORE-RELATED COMPOUNDS,UNDISCOUNTED,
PCT/IL01/01082,,PCT,"TRAN, HENRY N",2629,345,001000,6678,43817,PCT - International Search Report Mailed to IB,2002-09-05,,,,,2002054169,2002-07-11,,,A DATA INPUT DEVICE,UNDISCOUNTED,
PCT/IL01/01095,,PCT,"NGUYEN, PHUONGCHAU BA",2616,370,351000,8357,P-3775-PC,PCT - International Search Report Mailed to IB,2002-05-20,,,,,2002045275,2002-06-06,,,SYSTEM AND METHOD FOR A TRANSMISSION RATE CONTROLLER,UNDISCOUNTED,
PCT/IL01/01060,,PCT,"HANLEY, SUSAN MARIE",1653,424,423000,6691,01/22790,RO PROCESSING COMPLETED-PLACED IN STORAGE,2018-11-09,,,,,2002040630,2002-05-23,,,PROCESS OF DECELLULARIZING BIOLOGICAL MATRICES AND ACELLULAR BIOLOGICAL MATRICES USEFUL IN TISSUE ENGINEERING,UNDISCOUNTED,
PCT/IL02/00067,,PCT,"SINGH-PANDEY, ARTI R",1771,442,059000,6083,004/02,PCT - International Search Report Mailed to IB,2002-07-30,,,,,2002061159,2002-08-08,,,COMPOSITE MATERIAL STRUCTURE,UNDISCOUNTED,
PCT/IL02/00057,,PCT,"VO, HIEU T",3747,600,587000,6057,01/22777,PCT - International Search Report Mailed to IB,2002-09-12,,,,,2002058531,2002-08-01,,,INGESTIBLE DEVICE,UNDISCOUNTED,
PCT/IL02/00056,,PCT,"QADERI, RUNA S",3737,600,431000,5907,IGER-1-2002,PCT - International Search Report Mailed to IB,2003-02-13,,,,,2002058530,2002-08-01,,,METHOD AND APPARATUS FOR THE DELIVERY OF SUBSTANCES TO BIOLOGICAL COMPONENTS,UNDISCOUNTED,
PCT/IL02/00084,,PCT,"WINDER, PATRICE L",2452,709,245000,8697,1405/2,RO PROCESSING COMPLETED-PLACED IN STORAGE,2018-11-09,,,,,2002062076,2002-08-08,,,DISTRIBUTED MULTICASTING FOR AN ATM NETWORK,UNDISCOUNTED,
PCT/IL02/00068,,PCT,"BRADFORD, RODERICK D",3762,607,062000,6030,44460,PCT - International Search Report Mailed to IB,2002-12-23,,,,,2003018113,2003-03-06,,,TREATMENT OF DISORDERS BY UNDIRECTIONAL NERVE STIMULATION,UNDISCOUNTED,
PCT/IL02/00070,,PCT,"EVANISKO, GEORGE ROBERT",3792,607,046000,6082,01/22876,RO PROCESSING COMPLETED-PLACED IN STORAGE,2018-11-09,,,,,2002058782,2002-08-01,,,METHOD AND APPARATUS FOR SELECTIVE CONTROL OF NERVE FIBERS,UNDISCOUNTED,
PCT/IL02/00085,,PCT,"JASTRZAB, JEFFREY R",3762,607,040000,6139,2388/2,PCT - International Search Report Mailed to IB,2002-10-29,,,,,2002060522,2002-08-08,,,SYSTEM AND METHOD FOR ELECTRICAL STIMULATION OF SALIVATION,UNDISCOUNTED,
PCT/IL02/00076,,PCT,"BOCKELMAN, MARK",3792,607,002000,6348,01/23138,PCT - International Search Report Mailed to IB,2003-04-03,,,,,2002074384,2002-09-26,,,"METHODS, SYSTEMS AND DEVICES FOR IN VIVO ELECTROCHEMICAL PRODUCTION OF THERAPEUTIC AGENTS",UNDISCOUNTED,
PCT/IL02/00092,,PCT,"TU, CHRISTINE TRINH LE",2111,714,785000,6073,02/23231,RO PROCESSING COMPLETED-PLACED IN STORAGE,2018-11-09,,,,,2002063889,2002-08-15,,,BLIND TRANSPORT FORMAT DETECTION OF TURBO-CODED DATA,UNDISCOUNTED,
PCT/IL02/00101,,PCT,"EPPERSON, JON D",1639,435,070100,6066,01/22871,PCT - International Search Report Mailed to IB,2002-10-02,,,,,2002064556,2002-08-22,,,COMPLEX CARBOHYDRATE ARRAYS AND METHODS FOR THE MANUFACTURE AND USES THEREOF,UNDISCOUNTED,
PCT/IL02/00093,,PCT,"ROSENBAUM, MARK",3725,241,036000,6056,01/22892,PCT - International Search Report Mailed to IB,2002-07-18,,,,,2002062479,2002-08-15,,,"APPARATUS FOR TREATING WASTE, PARTICULARLY MEDICAL WASTE, TO FACILITATE ITS DISPOSITION",UNDISCOUNTED,
PCT/IL02/00089,,PCT,"EWOLDT, GERALD R",1644,514,002000,6051,P-3810-PC,PCT - International Search Report Mailed to IB,2002-08-07,,,,,2002060376,2002-08-08,,,INDUCTION OF TOLERANCE BY APOPTOTIC AND/OR NECROTIC CELLS,UNDISCOUNTED,
PCT/IL02/00100,,PCT,"CHEN, TE Y",2171,707,500000,6052,2463/2,PCT - International Search Report Mailed to IB,2002-07-03,,,,,2002063481,2002-08-15,,,A DYNAMIC OBJECT TYPE FOR INFORMATION MANAGEMENT AND REAL TIME GRAPHIC COLLABORATION,UNDISCOUNTED,
PCT/IL02/00106,,PCT,"VO, DON NGUYEN",2636,375,360000,5710,12410.0019,RO PROCESSING COMPLETED-PLACED IN STORAGE,2018-11-09,,,,,2002067444,2002-08-29,,,APPARATUS FOR AND METHOD OF REDUCING INTERFERENCE IN A COMMUNICATION RECEIVER,UNDISCOUNTED,
PCT/IL02/00108,,PCT,"MANTIS MERCADER, ELENI M",3737,600,427000,6021,001562PC,PCT - International Search Report Mailed to IB,2002-10-03,,,,,2002064011,2002-08-22,,,MEDICAL IMAGING AND NAVIGATION SYSTEM,UNDISCOUNTED,
PCT/IL02/00058,,PCT,"NGUYEN, TUYEN T",2837,336,200000,9848,1403/1,RO PROCESSING COMPLETED-PLACED IN STORAGE,2018-11-09,,,,,2002060041,2002-08-01,,,FLAT COIL,UNDISCOUNTED,
PCT/IL02/00048,,PCT,"MADSEN, ROBERT A",1761,426,316000,6060,44349,PCT - International Search Report Mailed to IB,2002-07-31,,,,,2002057143,2002-07-25,,,"A SYSTEM FOR FOR PACKAGING, STORING & TRANSPORTING AGRICULTURAL PRODUCE",UNDISCOUNTED,
PCT/IL02/00107,,PCT,"AN, SHAWN S",2621,348,042000,6075,001032PC3,PCT - International Search Report Mailed to IB,2002-07-12,,,,,2002067593,2002-08-29,,,CAPSULE,UNDISCOUNTED,
PCT/IL02/00051,,PCT,"SEAMAN, D MARGARET M",1625,514,458000,3307,H06/1,RO PROCESSING COMPLETED-PLACED IN STORAGE,2018-11-09,,,,,2002056823,2002-07-25,,,REDOX THERAPY FOR TUMORS,UNDISCOUNTED,
PCT/IL02/00111,,PCT,"NGUYEN, TUYEN T",2837,336,110000,6113,1521,PCT - International Search Report Mailed to IB,2003-04-10,,,,,2002067271,2002-08-29,,,IMAGING SYSTEMS AND PARTICLE DETECTORS USING SILICON ENRICHED BY HEAVIER ELEMENTS,UNDISCOUNTED,
PCT/IL02/00117,,PCT,"AWAD, AMR A",2621,345,173000,4465,1523,RO PROCESSING COMPLETED-PLACED IN STORAGE,2018-11-09,,,,,2002067240,2002-08-29,,,METHOD AND APPARATUS FOR AN INDUCTIVE POINTING DEVICE,UNDISCOUNTED,
PCT/IL02/00119,,PCT,"MENDEZ, MANUEL A",3783,604,164090,5881,1415741IL,PCT - International Search Report Mailed to IB,2003-03-28,,,,,2002066093,2002-08-29,,,COMPACT CATHETER INSERTION APPARATUS,UNDISCOUNTED,
