event_code,description
LQ..,"LETTER OF INQUIRY RE OFFICE ACTION (RE: MISSING REFERENCES, UNDATED, ETC.) FILED"
LR501,Letter Returning Improper 1.501 Submission
LRO501,Letter Acknowledging Receipt of 1.501 Submission by Patent Owner.
LRT501,Letter Acknowledging Receipt of 1.501 Submission by Third Party
LT/G,Letter Granting Request for Extension of Time
LTDR,Incoming Letter Pertaining to the Drawings
M102,M102
M133,M133
M1551,"Payment of Maintenance Fee, 4th Year, Large Entity"
M1552,"Payment of Maintenance Fee, 8th Year, Large Entity"
M1553,"Payment of Maintenance Fee, 12th Year, Large Entity"
M1554,"Surcharge for Late Payment, Large Entity"
M1555,"7.5 yr surcharge - late pmt w/in 6 mo, Large Entity"
M1556,"11.5 yr surcharge- late pmt w/in 6 mo, Large Entity"
M1558,"Surcharge, Petition to Accept Pymt After Exp, Unintentional"
M1559,Payment of Maintenance Fee under 1.28(c)
M2510,Mail Reconstruction Notice - Pending Application
M2511,Mail Reconstruction Notice - Abandoned Application
M2512,Mail Reconstruction Notice - Patented Application
M2551,"Payment of Maintenance Fee, 4th Yr, Small Entity"
M2552,"Payment of Maintenance Fee, 8th Yr, Small Entity"
M2553,"Payment of Maintenance Fee, 12th Yr, Small Entity"
M2554,"Surcharge for late Payment, Small Entity"
M2555,"7.5 yr surcharge - late pmt w/in 6 mo, Small Entity"
M2556,"11.5 yr surcharge- late pmt w/in 6 mo, Small Entity"
M2558,"Surcharge, Petition to Accept Pymt After Exp, Unintentional."
M327,Miscellaneous Communication to Applicant - No Action Count
M327-1,PUB Acknowledgement of NOA
M327-2,PUB Acknowledgement Domestic Priority
M327-3,PUB Acknowledgement Title
M327-4,PUB Acknowledgement 1449
M327-5,PUB Acknowledgement Color Drawing
M327-6,PUB Acknowledgement Drawing
M327-7,PUB Acknowledgement Interest Statement
M327-8,PUB Acknowledgement Inventor ship
M327-9,PUB Acknowledgement Denial of Associate Power of Attorney
M327-A,PUB Notice of drawing inconsistency with specification 
M327-B,PUB Notice of non-compliant IDS
M327-C,PUB Notice of Rescinded Abandonment
M327-D,PUB Other miscellaneous communication to applicant
M327-E,PTAB miscellaneous communication to applicant
M327-F,PUB Acknowledgement of Foreign Priority Papers
M327-G,POST ISSUE OTHER COMMUNICATION TO APPLICANT- CERTIFICATE OF CORRECTION
M327-O,PUBS Notice Requiring Inventors Oath or Declaration
M327-W,PUBS Letter Withdrawing a Notice Requiring Inventors Oath or Declaration
M3551,"Payment of Maintenance Fee, 4th Year, Micro Entity"
M3552,"Payment of Maintenance Fee, 8th Year, Micro Entity"
M3553,"Payment of Maintenance Fee, 12th Year, Micro Entity"
M3554,"Surcharge for Late Payment, Micro Entity"
M3555,"Surcharge for Late Payment, Micro Entity"
M3556,"Surcharge for Late Payment, Micro Entity"
M3558,"Surcharge, Petition to Accept Pymt After Exp, Unintentional"
M840,Request for Corrected Filing Receipt Filed
M844,Information Disclosure Statement (IDS) Filed
M844-1,IDS with 1 mo. certification statement
M852,Letter to Official Draftsman Filed P/E
M856,Letter Requesting Suspension of Prosecution
M865,Letter Requesting Interview with Examiner
M865E,Electronic request for Examiner Interview
M903,Notice of DO/EO Acceptance Mailed
M905,Notice of DO/EO Missing Requirements Mailed
M906,Notice of DO/EO Missing Requirements for 102(E) Date Mailed
M907,Notice of DO/EO Acceptance for 102(E) Date Mailed
M909,Notice of DO/EO Abandonment Mailed.
M912,Notice of Insufficient Basic National Fee and/or Missing Copy of International Application
M916,Notice of DO/EO Defective Response Mailed.
M922,Sequence disclosure problems
M923,371 Supplemental Fees Missing - Form M923
MA.IX,Mail of Withdraw of Informal Amendment Notice
MABN,Abandonment Mailed
MABN10,Mail of Abandonment after Examiner's Answer or PTAB Decision
MABN2,Mail Abandonment for Failure to Respond to Office Action
MABN3,Mail Express Abandonment (During Examination)
MABN4,Mail Express Abandonment after Allowance
MABN5,Mail  Abandonment after Prior Disposal
MABN6,Mail Abandonment for Failure to Pay Issue Fee
MABN7,Mail Abandonment for Failure to Correct Drawings/Oath
MABNP,Mail Preexam Abandonment
MAFAC,Mail After Final Consideration Program Additional Consideration and/or updated search
MAFIR,Mail After Final Consideration Program Improper Request
MAFNE,Mail After Final Consideration Program Amendment too Extensive
MAISP,Mail Letter Suspending Prosecution at Applicant's Request
MAP.R,MAIL PTAB Remand to the Examiner
MAP/W,RX - Mail Withdrawal of Appeal
MAPCA,Mail Appeals conf. Rej. withdrawn
MAPCD,Mail Appeals conf. Request Defective
MAPCP,Mail Appeals conf. Proceed to PTAB
MAPCR,Mail Appeals conf. Reopen Prosec.
MAPD1,Mail PTAB Decision on Reconsideration - Denied
MAPD2,Mail PTAB Decision on Reconsideration - Granted
MAPD3,Mail - Dec on Reconsideration - Granted in Part
MAPDA,Mail PTAB Decision on Appeal - Affirmed
MAPDN,Mail - PTAB Decision with new grounds of rejection
MAPDP,Mail PTAB Decision on Appeal - Affirmed in Part
MAPDR,Mail PTAB Decision on Appeal - Reversed
MAPDS,Appeal Dismissed - Mailed
MAPDSNGR,Mail Appeal Dismissed - No response to NGR PTAB Decision
MAPDT,Mail PTAB Order for additional briefing or information
MAPDTH,Mail Decision Denying Telephonic Hearing
MAPDVH,Mail Decision Denying Video Hearing
MAPDW,Mail PTAB Decision vacating the previous decision
MAPE2,Mail Supplemental Examiner's Answer
MAPEA,Mail Examiner's Answer
MAPGTH,Mail Decision Granting Telephonic Hearing
MAPGVH,Mail Decision Granting Video Hearing
MAPHT,Mail PTAB Oral Hearing Transcript
MAPNR,Mail Advisory of Non-Entry of Reply Brief
MAPOR,Mail PTAB Order
MAPPD,Mail Hearing Postponement Denied
MAPPG,Mail - Hearing Postponement Granted
MAPPR,Mail PTAB Panel Remand to the Examiner
MAPSD,Mail Supplement Decision
MASD,Master Docket Assignment
MC/N=,Mail Corrected Notice of Allowance
MC/NW,Mail Corrected Notice of Allowance (Response period NOT restarted)
MC105-D,Mail Rule 105 Communication with Office Action
MC105-I,Mail Independent Rule 105 Communication
MC105DP,Mail Rule 105 Communication with Office Action after Allowance
MC105IP,Mail Independent Rule 105 Communication after Allowance
MC9GR,Mail COVID 19 Deferred Fee Provisional Program - Acceptance
MCNOA,Mailing Corrected Notice of Allowability
MCNTS,Mail Sir Disposal Acknowledgment
MCOCM,Mail Certificate of Correction Memo
MCPA,CPA- Missing parts Communication
MCPA-AMD,Mail Notice of Informal or Non-Responsive RCE Amendment
MCRFR,"Mail Letter Requiring CRF (Unreadable, Non-Compliant, Not Submitted)"
MCTAV,Mail Advisory Action (PTOL - 303)
MCTEQ,Mail Ex Parte Quayle Action (PTOL - 326)
MCTFR,Mail Final Rejection (PTOL - 326)
MCTMS,Mail Miscellaneous Communication to Applicant
MCTNF,Mail Non-Final Rejection
MCTRS,Mail Restriction Requirement
MDCRF,Mail Non-Bonafide Response to Sequence Request
MDEFT,RX - Mail Notice of Defective Paper
MDRCDK,Mail Rocket Docket Request Denied
MDSUD,Mail Suspension-Deferred Examination Request Denied or dismissed
MENC,Notice of non-compliant micro entity certification request
MERRA,Mail PTAB Appeal Erratum
MERRP,Mail PTAB Preappeal Erratum
MEX.A,Mail Examiner's Amendment
MEX.R,Mail Reasons for Allowance
MEXAC,Mail Interview Summary - Applicant Initiated - Conference
MEXAP,Mail Interview Summary - Applicant Initiated - Personal
MEXAT,Mail Interview Summary - Applicant Initiated - Telephonic
MEXEC,Mail Interview Summary - Examiner Initiated - Conference
MEXEP,Mail Interview Summary - Examiner Initiated - Personal
MEXET,Mail Interview Summary - Examiner Initiated - Telephonic
MEXIA,Mail Applicant Initiated Interview Summary
MEXIE,Mail Examiner Initiated Interview Summary
MEXIN,Mail Examiner Interview Summary (PTOL - 413)
MFAIA,Mail First Action Interview Office Action
MFAOO,Mail First Action without Interview
MFREF,Mail Final Refusal of SIR
MGPRD,Mail Glossary Request Dismissed/Denied
MGPRG,Mail Glossary Pilot Request Granted
MGRCDK,Mail Rocket Docket Request Granted
MICPA,Mail Incomplete CPA Notification
MICR,Applicant Has Filed a Verified Statement of Micro Entity Status in Compliance with 37 CFR 1.29
MID/A,Mail Interference Decision - Adverse
MID/F,Mail Interference Decision - Favorable
MID/S,Mail Interference Decision - Dismissed
MIMMD,Mail Cancer Immunotherapy Request Dismissed/Denied
MIMMG,Mail Cancer Immunotherapy Request Granted
MINTO,Mail Interference Notification to Patentee Rule 607
MIPNF,RX - Mail Inter Partes  Non-Final Office Action
MIPXD,RX - Mail Inter Partes Reexam Order - Denied
MIPXO,RX - Mail Inter Partes Reexam Order - Granted
MISC,Miscellaneous Office Action Mailed
ML.SI,Mail Suspension Due to Interference in Another Application
ML.SP,Mail Letter of Suspension
ML170,Request for Applicant Statement Regarding Potential NASA Interest (45-Day Letter) Mailed
ML171,Request for Applicant Statement Regarding Potential DOE Interest  (45-Day Letter) Mailed
ML196,Agency Referral Letter Mailed
MLAP,Search Application Mailed
MLIB,Record Copy Mailed
MLR501,Letter Returning Improper 1.501 Submission - Mailed
MLRO501,Letter Acknowledging Receipt of 1.501 Submission by Patent Owner- Mailed
MLRT501,Letter Acknowledging Receipt of 1.501 Submission by Third Party - Mailed
MM327,Mail Miscellaneous Communication to Applicant
MM327-1,Mail PUB Acknowledgement of NOA
MM327-2,Mail PUB Acknowledgement Domestic Priority
MM327-3,Mail PUB Acknowledgement Tile
MM327-4,Mail PUB Acknowledgement 1449
MM327-5,Mail PUB Acknowledgement Color Drawing
MM327-6,Mail PUB Acknowledgement Drawing
MM327-7,Mail PUB Acknowledgement Interest Statement
MM327-8,Mail PUB Acknowledgement Inventor ship
MM327-9,Mail PUB Acknowledgement Denial of Associate Power of Attorney
MM327-A,Mail Notice of drawing inconsistency with specification 
MM327-B,Mail PUB Notice of non-compliant IDS
MM327-C,Mail PUB Notice of Rescinded Abandonment
MM327-D,Mail PUB   other miscellaneous communication to applicant
MM327-E,Mail PTAB miscellaneous communication to applicant
MM327-F,Mail PUB Acknowledgement of Foreign Priority Papers
MM327-G,Mail Pub Notice re 312 amendment
MM327-O,Mail PUBS Notice Requiring Inventors Oath or Declaration
MM327-W,Mail PUBS Letter Withdrawing a Notice Requiring Inventors Oath or Declaration
MMCPA,Mail Notice of Missing Parts CPA
MMIS,Miscellaneous Letter Mailed
MN/=.,Mail Notice of Allowance
MN/BD,Mail  Biological Deposit Required
MN/DR,Mail  Formal Drawings Required
MN/OD,Mail Oath of Declaration Required
MN271,Mail Response to 312 Amendment (PTO-271)
MN561,Mail Notification - Applicant Due Refund (PTOL 319)
MN574,Mail Notification of Terminal Disclaimer - Accepted
MN575,Mail Notification of Terminal Disclaimer - Not Accepted
MNCDR,Mail Notice of non-compliant drawings filed separately
MNCID,Mail IDS Notice of Consideration
MNCIR,Mail Noncompliant First Action Interview
MNCRF,Mail Incomplete Response to Sequence Rule Request
MND10,Mail D10 Notice (L & R)
MNFDR,Mail Notice of Formal Drawings Required
MNFEE,Mail Notice of Required Fees Due
MNOIC,Mail Notice of Imported Citations
MNPEX,Mail Preexam Notice
MNPRL,Mail Non-Compliant Preliminary Amendment
MNRAB,Mail Notice of Rescinded Abandonment
MNRES,Mail Notice of Restarted Response Period
MODPD,Mail ODM Petition Decision
MODPD10,Mail M327-D  PUB OTHER MISCELLANEOUS COMMUNICATION TO APPLICANT
MODPD15,Mail PUB NOTICE OF DRAWING INCONSISTENCY WITH SPECIFICATION
MODPD17,Mail PUB NOTICE OF RESCINDED ABANDONMENT
MODPD22,MAIL PUB ACKNOWLEDGEMENT INVENTOR SHIP
MODPD25,MAIL PUB ACKNOWLEDGEMENT DRAWING
MODPD26,MAIL NOTICE TO FILE CORRECTED APPLICATION PAPERS - VACATED
MODPD27,MAIL NOTICE OF NON-COMPLIANT IDS - VACATED
MODPD28,MAIL ISSUE FEE RETURNED UNPAID
MODPD29,MAIL PETITION DECISION - 1.138 D
MODPD30,MAIL PETITION DECISION - 1.138 C
MODPD31,MAIL PATENT WITHDRAWAL NOTICE
MODPD32,Mail M327-D -PUBS OTHER MISCELANEOUS COMMUNICATION TO APPLICANT
MODPD33,Mail NTC.USIFEE-NOTICE REGUARDING UNSIGNED 85B FORM
MODPD:1,Mail DISMISSED - Decision to Accept Color Drawings under 37 CFR 1.84(a)(2)
MODPD:2,Mail DISMISSED - Decision for Express Abandonment Petition Decision under 37 CFR  1.138(c)
MODPD:3,Mail DISMISSED - Abandonment Petition Decision under 37 CFR 1.138 (d)
MODPD:4,Mail GRANTED - Decision to Accept Color Drawings under 37 CFR 1.84(a)(2)
MODPD:5,Mail GRANTED - Express Abandonment Petition Decision under 37 CFR  1.138(c)
MODPD:6,Mail GRANTED - Express Abandonment Petition Decision under 37 CFR 1.138 (d)
MODPD:7,Mail Notice of Improper Letter of Express Abandonment under 1.138(a)
MODPD:8,Mail Letter Withdrawing a Notice Requiring Inventor Oath or Declaration
MODPET1,MAIL PREV - 503 PETITION TO REVIVE APPLICATION - GRANTED
MODPET10,Mail PETITION DECISION VACATED - 1.138D/1.138C
MODPET11,Mail PETITION DECISION DISMISSED - 37 CFR 1.221(a)
MODPET12,Mail PETITION DECISION DISMISSED-37 CFR 1.221(b)
MODPET3,MAIL PREV - 1.81 PETITION TO REVIVE APPLICATION - GRANTED
MODPET4,MAIL PREV - 1.81 PETITION TO REVIVE APPLICATION - DISMISSED
MODPET7,MAIL PREV - 711.03 PETITION TO REVIVE APPLICATION - GRANTED 
MODPET8,MAIL PREV - 711.03 PETITION TO REVIVE APPLICATION - DISMISSED
MODPET9,MAIL PETITION DECISION DISMISSED - INSUFFICIENT RESPONSE
MOPPT,Mail O.P. Petition Decision
MP001,Mail-Record Petition Decision of Granted to Revive for Continuity
MP002,Mail-Record Petition Decision of Granted to Suspend an Action
MP003,Mail-Record Petition Decision of Granted to Make Special
MP004,Mail-Record Petition Decision of Granted to Reinstate an Appeal
MP005,Mail-Record Petition Decision of Granted to Accept Delayed Payment of Issue Fee
MP006,Mail-Record Petition Decision of Granted to Withdraw from Issue
MP007,Mail-Record Petition Decision of Granted to Withdraw from Issue for Express Abandonment
MP008,Mail-Record Petition Decision of Granted Related to Attorney
MP009,Mail-Record Petition Decision of Granted Related to International Filing Date
MP010,Mail-Record Petition Decision of Granted Related to Filing Date
MP011,Mail-Record Petition Decision of Granted Related to Inventor in Patent
MP012,Mail-Record Petition Decision of Granted Related to Inventor in Application
MP013,Mail-Record Petition Decision of Granted to Make Entity Status Small
MP014,Mail-Record Petition Decision of Granted to Make Entity Status large
MP015,Mail-Record Petition Decision of Granted to Withdraw from Issue - with assigned Patent NO.
MP016,Mail-Record Petition Decision of Granted Related to Entering Priority Papers
MP017,Mail-Record Petition Decision of Granted from Denial of Reexamination Request
MP018,Mail-Record Petition Decision of Granted Related to Entering Incoming Correspondence
MP019,Mail-Record Petition Decision of Granted Related to Certificate of Correction
MP020,Mail-Record Petition Decision of Granted for Extension of Time in Reexamination
MP022,Mail-Record Petition Decision of Granted to Merge Multiple Reexamination Proceedings
MP023,Mail-Record a Petition Decision of Granted to Issue Patent in Name of the Assignee
MP024,Mail-Record a Petition Decision of Granted for Commissioner-Initiated Reexam Rroceeding
MP025,Mail-Record a Petition Decision of Granted for Patent Term Adjustment after Allowance
MP026,Mail-Record a Petition Decision of Granted for Patent Term Adjustment after Issue
MP027,Mail-Record a Petition Decision of Granted to Defer Issuance of Patent
MP030,Mail-Record Petition Decision of Granted Related to Conversion
MP031,Mail-Record Petition Decision of Granted to Withdraw ssue for Express Abandonment - with assigned Pa
MP032,Mail-Mail Petition to Revive Application For Continuity Purposes- Granted
MP033,Mail-Petition Decision - Granted
MP034,Mail-Petition Decision - Granted
MP203,Mail PCT Form 203
MP205,PCT Chapter I Mail  Form 205
MP206,Mail PCT Chapter I Form 206
MP207,PCT Chapter I Mail P207 Action
MP209,PCT Chapter I Mail P209 Action
MP210,Mail International Search Report
MP211,PCT Chapter I Mail P211 Action
MP212,PCT Chapter I Mail P212 Action
MP216,PCT Chapter I Mail P216 Action
MP217,PCT Chapter I Mail P217 Action
MP218,PCT Chapter I Mail P218 Action
MP225,PCT Chapter I Mail P225 Action Response Required
MP232,PCT Chapter I Mail P232 Action
MP327,Mail Acknowledgement of Priority Papers
MP327-P,Mail Acknowledgement of Priority Papers-Pub
MP3DS,Mail Third Party IDS communication
MP574,Mail Paralegal TD Accepted
MP575,Paralegal TD Not accepted
MPCRO,Mail Prosecution Conference Pilot -  Reopen Prosecution
MPCRP,Mail Prosecution Conference Pilot -  Rejection Proper
MPDCI,Mail Pet Dec Routed to Certificate of Corrections Branch
MPDDM,Mail Pet Dec Routed to ODM (PUBS)
MPDLR,Mail Pet Dec License and Review Out
MPDOE,Mail Pet Dec Routed to OPAP (OIPE)
MPDPH,Mail Pet Dec PPH Decision
MPDRT,Mail Pet Dec Routed to Tech Center
MPDTD,Mail Pet Dec Track 1 Deny
MPDTG,Mail Pet Dec Track 1 Grant
MPDX,Priority Document Exchange Notice Mailed
MPEAC,Mail Post-examiner ans. com
MPEN,Mail Pre-Exam Notice
MPETDEC,Petition Decision Notice Mailed
MPFA,Mail Pre-interview First Office Action
MPICO,Mail Pre-Interview Communication
MPMFD,Mail-Petition Decision - Accept Late Payment of Maintenance Fees - Denied
MPMFG,Mail-Petition Decision - Accept Late Payment of Maintenance Fees - Granted
MPMFS,Mail-Petition Decision - Accept Late Payment of Maintenance Fees -  Dismissed
MPMRIA,Mail PX-Micro entity Request Improper Request by Attorney
MPREFD,Mail PX-Denial of Request for Refund
MPREV,Mail-Petition to Revive Application - Granted
MPTDE,Mail-Petition Decision - Denied
MPTDE-1,Mail-Petition Decision - Denied
MPTDI,Mail-Petition Decision - Dismissed
MPTDI-1,Mail-Petition Decision - Dismissed
MPTDIPTA,Mail-Petition Decision - Dismissed
MPTGP,Mail-Petition Decision - Granted in Part
MPTGP-1,Mail-Petition Decision - Granted in Part
MPTGR,Mail-Petition Decision - Granted
MPTGR-1,Mail-Petition Decision - Granted
MQPRO,Mail Quick Path IDS Reopen Prosecution
MQRCE,Mail Quick Path IDS Examiner-directed entry of RCE
MR.NF,RX - Mail Reexam Non-Final Action
MR327,RX - Mail Miscellaneous Communication to Applicant
MR574,RX - Mail Notification of Terminal Disclaimer - Accepted
MR575,RX - Mail Notification of Terminal Disclaimer - Not Accepted
MRACP,RX - Mail Reexam - Action Closing Prosecution.
MRADV,RX - Mail Reexam - Advisory Action (or Supplemental)
MRAEA,RX - Mail Examiners Answer
MRAN.,RX - Mail Right of Appeal Notice
MRAPD,RX - Mail Notice of Appeal - Defective or Unacceptable
MRAPR,RX - Mail Advisory of Nonentry of Reply Brief
MRAPS,RX - Mail Supplemental examiners answer to appeal brief
MRAPW,RX - Mail Withdrawal/Dismissal of Appeal
MRBNE,Mail Reply Brief Noted by Examiner
MRCCP,RX - Mail Concurrent Proceedings Notice
MRDCL,RX - Mail Decision Lifting the Stay of Reexam Proceedings
MRDCP,RX - Mail Decision Merging Inter Partes & Ex Parte Proceedings (code for EPR case)
MRDMF,RX - Mail Decision Merging Reexam Proceedings
MRDPT,"RX - Mail Decision on Petition Denied, Inter partes Reexam Terminated"
MRDRI,RX - Mail Decision Merging Reexam and Reissue Proceedings -- Reissue Application
MRDRX,RX - Mail Decision Merging Reexam and Reissue Proceedings -- Reexam
MRDTY,RX - Mail Decision Staying Reexam Proceedings
MREA2,RX - Mail Supplemental Examiners Answer
MREPE,RX - Mail Examiners Answer
MREPQ,RX - Mail Ex Parte Quayle Action
MREXA,RX - Mail Examiners Amendment
MREXD,RX - Mail Ex Parte Request for Reexamination Denied
MREXN,RX - Mail Examiner Interview Summary Record
MREXO,RX - Mail Ex Parte Request for Reexamination Granted
MREXV,RX - Mail Decision Vacating a Determination Ordering a Reexam
MRGACTIV,Merged Active File into Found File.
MRGE,Files Merged
MRGFOUND,Merge Found File into Reconstructed File
MRGRECON,Merged Reconstructed File into Found File.
MRICR,RX - Mail Notice of Incomplete Ex Parte Reexam Request
MRIFD,RX - Mail Incomplete Ex Parte Reexam Request (Filing Date vacated)
MRILD,RX - Mail Improper Letter Destroyed
MRINA,RX - Mail Notification of Informal or Nonresponsive Amendment
MRLSP,RX - Mail Letter of Suspension - Examiner Initiated
MRMRD,RX - Mail Dissolved Merged Reexam and Reissue Proceedings
MRMTM,RX - Mail Termination by Mailing Allowance in Merged Reissue
MRNCR,RX - Mail Notice of Non-Compliant Ex Parte Reexamination Request
MRNRC,RX - Mail Notice of Intent to Issue a Reexam Certificate
MRNSME,RX - Mail Non-Compliant Statement of Small Entity Status
MRPTD,RX - Mail Petition Decision Denying Reexamination
MRPTG,RX - Mail Petition Decision Ordering Reexamination
MRPVC,RX - Mail Decision vacating inter partes reexam
MRPWP,RX - Mail Pilot Waiver Program - Ex Parte  Interview Summary
MRRBN,RX - Mail Reply Brief Noted by examiner
MRRD,decision dissolving merger reexam
MRRES,"RX - Mail Letter Restarting Period Of Response - e.g., Letter re References, remail"
MRRI,"Decision Merging Reexamination and Reissue Proceedings, Reissue Application"
MRSEN,SE - Mail Notice of Intent to Issue Reexam Certificate- Supplemental Exam
MRTDE,RX - Mail Petition Decision - Denied
MRTDI,RX - Mail Petition Decision - Dismissed
MRTGP,RX - Mail Petition Decision - Granted-in-part
MRTGR,RX - Mail Petition Decision - Granted
MRTRM,RX - Mail Termination of Reexam Proceedings
MRTRS,RX - Mail Mail Requirement for Restriction / Election
MRWAC,RX - Mail Letter Withdrawing/Vacating Office Action
MRWNC,RX - Mail Withdrawal of Notice of Intent to Issue Reexamination Certificate
MRXAI,RX - Mail Informal / NonResponsive Amendment after Examiner Action
MRXD.,RX - Mail Extension of Time Period for Response Denied
MRXEAS,RX - Mail Supplemental Examiners Answer to Appeal Brief
MRXFR,RX - Mail Final Rejection
MRXG.,RX - Mail Extension of Time Period for Response Granted
MRXN,Reexamination Formalities Notice Mailed
MRXPR,RX - Mail Termination of  PreProcessing of Ex Parte Rexxamination Request
MRXSEC,SE - Mail Reexamination SE Certificate
MRXTG,RX - Mail Extension of Time Granted
MSADV,Mail Supplemental Advisory Action
MSCIR,Mail Noncompliant FAI
MSCSS,Misc Special Soft Scanning- No Mailing
MSEAB,SE - Mail Supplemental Examination Paper Held In Abeyance
MSEDE,SE - Mail Supplemental Examination Petition Denied
MSEDI,SE - Mail Supplemental Examination Petition Dismissed
MSEFD,SE - Mail Notice of Filing Date Assigned to SE Request
MSEGP,SE - Mail Supplemental Examination Petition Granted In Part
MSEGR,SE - Mail Supplemental Examination Petition Granted
MSEIN,SE - Mail Supplemental Examination Incomplete (No Filing Date)
MSEMI,SE - Mail Miscellaneous Decision/Office Notice in SE
MSEPA,SE - Mail Denial of Power of Attorney - Reexam and Supp Exam
MSEPQ,Mail Supplemental Ex parte Quayle Action
MSERO,SE - Mail Reexam Ordered Based on Supplemental Examination
MSETM,SE - Mail Termination of pre-processing of SE Request (No Filing Date)
MSEVC,SE - Mail Supplemental Examination - Notice Vacating Filing Date
MSEXP,SE - Mail Expunge Improper Paper Filed In SE
MSFR.,Mail Supplemental Final Rejection
MSML,Appl Has Filed a Verified Statement of Micro to Small Entity Status
MSNQN,SE - Mail Supplemental Examination Certificate -- SNQ No
MSNQY,SE - Mail Supplemental Examination Certificate -- SNQ Yes
MSPCT,Mailing Supplemental PCT Action
MSREA,SE - Mail Reasons for New Question of Patentability Determination
MSRES,Mail Supplemental Restriction / Election Requirement
MSRNF,Mail Supplemental Non-Final Action
MT1GR,Mail Track 1 Request Granted
MT1NC,Mail Track 1 Noncompliant Request
MTCPT,Mail TC Petition Decision
MTCPTD,Mail TC Petition Denied / Dismissed
MTCPTG,Mail TC Petition Granted
MW/AC,Mail Notice of Withdrawn Action
MXAPT,RX - Mail Determination on Resp/Comments Aft PTAB Dec w/New Ground of Rej 
MXIRC,RX - Mail Notice of Intent to Issue Reexam Certificate
N.84,PTOL-85B Received. Issue Fee Previously Recorded
N/=.,Notice of Allowance Data Verification Completed
N/=A,Notice of Allowance Printed with Examiner's Amendment
N/=F,Notice of Allowance with Issue Fee Charged to Deposit Account
N/AP,Notice of Appeal Filed
N/AP-NOA,Notice of Appeal Filed After NOA
N/BD,Biological Deposit Required
N/DR,Formal Drawings Required
N/OD,Oath or Declaration Required
N066,Notice of Balance of Issue Fee Due (PTO-1031)  - Charged to Deposit Account
N067,Notice of Balance of Issue Fee Due (PTO-1031) - Billing Required
N069,Notice of Lapse of Patent/Failure to Pay Balance of Issue Fee (PTOL-311)
N075,Mail Notice of Abandonment from Publications
N084,Issue Fee Payment Verified
N123HA,Notification Under Rule 12(3)(d) (Hague)
N129,Rule 129 Informational Notice Mailed
N271,Response to Amendment under Rule 312
N311,Requirement for Certified Translation of Specification
N312,Partial Entry of Amendment - Divisional Application Rule 147
N315,Notice of Additional Filing Fee Due and Formal Drawings Required
N416,Notice of Withdrawal from Issue Branch (PTOL-67)
N417,Status Letter Mailed to Applicant
N418,Drawings Have Been Misplaced
N419,Misplaced Drawings Have Been Found
N421,Notice of Rescinded Abandonment (PTOL-393)
N422,Request for Duplicate of Priority Papers (PTOL-406)
N423,Post Issue Communication - Certificate of Correction
N424,Request for Certificate of Correction
N426,Notification of Return of Papers - Re: Request for Certificate of Correction (PTOL-396)
N427,Post Allowance Communication Transaction to Record Incoming Correspondence
N459,Notice to Patentee under 37 CFR 1.607(D)
N560,Amendment Received - Fee Due (PTOL-319)
N561,Amendment Received - Applicant Due Refund
N570,Communication - Re: Power of Attorney (PTOL-308)
N572,Response - Re: Informal Power of Attorney (PTOL-308)
N574,Notification of Terminal Disclaimer - Accepted
N575,Notification of Terminal Disclaimer - Not Accepted
N578,Notification of Withdrawal of Attorney
NABN,Notice of Abandonment
NAPI,Defective/Not Acceptable Notice of Appeal
NC01,X-Pre-Legal Complete New Case
NC11,X-Pre-Legal Complete New Case
NC15,X-Pre-Legal Complete New Case
NC16,X-Pre-Legal Complete New Case
NC17,X-Pre-Legal Complete New Case
NC18,X-Pre-Legal Complete New Case
NC19,X-Pre-Legal Complete New Case
NC20,X-Pre-Legal Complete New Case
NC22,X-Pre-Legal Complete New Case
NC23,X-Pre-Legal Complete New Case
NC25,X-Pre-Legal Complete New Case
NC26,X-Pre-Legal Complete New Case
NC27,X-Pre-Legal Complete New Case
NC28,X-Pre-Legal Complete New Case
NC32,X-Pre-Legal Complete New Case
NC33,X-Pre-Legal Complete New Case
NC34,X-Pre-Legal Complete New Case
NCDR,Notice of non-compliant drawings filed separately
NCID,IDS Notice of Consideration
NCIR,Noncompliant First Action Interview
NCRF,CRF Response Incomplete
ND10,D-10 Notice (L & R Case)
NFDE,Notice of Final Determination -Eligible
NFDI,Notice of Final Determination- Ineligible
NFDR,Notice of Formal Drawings Required
NFEE,Fee (additional) Due Notice
NINA,Mail Notice of Informal or Non-Responsive Amendment
NLIM,Notice of lost Image document
NOCA,Notice of Court Action
NOIC,Notice of Imported Citations
NOIFIBHA,Issue Fee not Paid Directly to I.B. (Hague)
NOSE,APPLICANT HAS FILED A STATEMENT OF SMALL ENTITY STATUS THAT IS NOT IN COMPLIANCE WITH 37 CFR 1.27.
NPEX,Preexam Notice
NPICO,Response to PICO-no interview
NPRL,Non-Compliant Preliminary Amendment
NPRQ,PGPubs nonPub Request
NR206,PCT Chapter I No Response Received For Unity of Invention
NR225,PCT Chapter I No Response Received For Sequence Requirment
NRAB,Notice of Rescinded Abandonment in TCs
NRE.,Notice of Reissue Published in Official Gazette
NRES,Letter Restarting Period for Response (i.e. Letter re References)
NRX.,Notice of Reexam Published in Official Gazette
NUNT,Notice of Untimely Request
NWREIBHA,Receipt of New Application from I.B. (Hague)
O/PT,Submission of Original Patent Grant
O501,1.501 Submission by Patent Owner
